Index,Quote,Author,Source
93,How strong can blood ties remain when they stretch across an ocean.,Uzma Jalaluddin,Hana Khan Carries On
92,There is nothing to writing. All you do is sit at a typewriter and bleed.,Ernest Hemingway,
91,"Christmas is like the 'hey jude' of holidays -- every five years, at one third length, it would be a perfectly nice idea.",Rob Sheffield,Love Is a Mixtape
90,When you stick a song on a tape you set it free.,Rob Sheffield,Love Is a Mixtape
89,"Maybe that's what children were, a desperate need that opened you up even if you didn't want it.",Kevin Wilson,Nothing to See Here
88,Be wary of men with something to prove. Charisma is charm that inspires devotion.,Taylor Jenkins Reid,The Seven Husbands of Evelyn Hugo
87,Nothing lies like memory.,John Green,The Anthropocene Reviewed
86,"Art is about ideas, and ideas are wilder than memories. They're like weeds, always finding their way up.",V.E. Schwab,The Invisible Life of Addie LaRue
85,His heart has a draft. It lets in light. It lets in storms. It lets in everything.,V.E. Schwab,The Invisible Life of Addie LaRue
84,Never pray to the gods who answer after dark.,V.E. Schwab,The Invisible Life of Addie LaRue
83,I probably infect others with the way I speak too. Infecting each other like this is how we maintain ourselves as human.,Sayaka Murata,Convenience Store Woman
82,"The only difference between lying and acting was whether your audience was in on it, but it was all a performance just the same.",Brit Bennett,The Vanishing Half
81,What is a country but a life sentence?,Ocean Vuong,On Earth We're Briefly Gorgeous
80,"You know that feeling, when you're watching someone sleep and you feel overwhelmed with joy that they exist?",Emily Henry,Beach Read
79,Wood is time captured.,Michael Christie,Greenwood
78,"At times what we should dread most are feet that will run away, that will run away and leave us everlastingly alone.",Ariel Dorfman,
77,Our hearts are bars of soap that we keep losing hold of.,Fredrik Backman,Anxious People
76,"Problems are like bible salesmen or genital warts. If you ignore them, eventually they go away.",,Lucifer
75,Change is what a story is. Endings are what gives stories meaning.,Erin Morgenstern,The Starless Sea
74,A boy at the beginning of a story has no way of knowing that the story has begun.,Erin Morgenstern,The Starless Sea
73,"An encumbrance might also be thought of as an anchor, and what he'd found himself thinking lately was that he wouldn't mind being more anchored to this earth.",Emily St. John Mandel,The Glass Hotel
72,"Definitions anchor in principles. If we don't do the basic work of defining the kind of people we want to be in language that is stable and consistent, we can't work towards stable and consistent goals.",Ibram X. Kendi,How to Be an Antiracist
71,"There's no hierarchy. That's the miracle of a triangle. No top, no bottom, no taking sides.",Patti Smith,Year of the Monkey
70,Science is ultimately a specialized way of being wrong.,Emily Nagoski,Burnout
69,"If people wanted you to write warmly about them, they should've behaved better.",Anne Lamott,
68,"The tears are coming, like the Germans...",Monica Heisey,I Can't Believe It's Not Better
67,There was something so generous about her personality. She spent her personality wildly.,Emily St. John Mandel,The Lonely Hearts Hotel
66,Everything we make is ours.,Claire Evans,
65,I got to make the rules but I didn't stray from them.,Windy Chen,
64,People go but how they left always stays.,Rupi Kaur,Milk and Honey
63,I got sick the way Hemingway says you go broke: 'gradually and then suddenly.',Meghan O’Rourke,The New Yorker
62,"He understood a broken heart, but it could not be allowed to rumple perfectly good shirtwaists.",Gail Carriger,Parasol Protectorate
61,That's what best friends did: ruin people for everyone else.,Emma Straub,The Vacationers
60,A heart that hurts is a heart that works.,Juliana Hatfield,Universal Heart-Beat
59,"Love people and use things, because the opposite never works.",,Minimalism (documentary)
58,"What do you want, we'll give you what we have.",,Comedians in Cars Getting Coffee
57,I spent my words like an oligarch with a terminal disease.,Lauren Collins,The New Yorker
56,Hatred is something only outsiders can afford.,,Pop-Up Magazine (story about North Korea)
55,Well behaved women rarely make history., Laurel Thatcher Ulrich,
54,"Sometimes people ask questions not because they want answers, but because they want to be heard.",Cheryl Strayed,The New Yorker
53,How can I begin anything new with all of yesterday in me?,Leonard Cohen,Beautiful Losers
52,"Never regret anything, because at some point it was exactly what you wanted.",Banksy,
51,This life was never ours. We were only ever borrowing it.,Emily St. John Mandel,Station Eleven
50,Nothing will be healed in this kitchen. Some griefs can never be put right.,Anthony Doerr,All the Light We Cannot See
49,It ran like foreign water through a tourist.,,OJ: 30 for 30
48,"Don't move that peony bush, it'll sulk for years.",Dan Lizotte,
47,People arrive in history at once late and early; they rely on critics to help them see beyond their time.,Nathan Heller,The New Yorker
46,To recognize is not only to give something a name but to give it the very name that was waiting for it.,Rae Armantrout,The New Yorker
45,Thank God we can't tell the future; we'd never get out of bed.,,August: Osage County
44,"Courage, dear heart.",C.S. Lewis,
43,"May your choices reflect your hopes, not your fears.",Nelson Mandela,
42,"Before you know kindness as the deepest thing inside, you must know sorrow as the other deepest thing.",Naomi Shihab Nye,Kindness
41,"You remember too much, my mother said to me recently. Why hold onto all that? And I said, where can I put it down?",Anne Carson,The Glass Essay
40,Stop looking for happiness in the same place you lost it.,,Tumblr
39,"If you want to see yourself the way the devil sees you, then read your sweetheart's diary.",Heather O'Neill,The Girl Who Was Saturday Night
38,"Every two people, when they grow intimate with one another, begin to construct their own language.",Heather O'Neill,The Girl Who Was Saturday Night
37,I knew that he had an abundance of love that he had saved up. He had stored it away under his mattress because he'd had no one to spend it on.,Heather O'Neill,The Girl Who Was Saturday Night
36,Trust doesn't mean that you trust that someone won't screw up—it means you trust them even when they do screw up.,Ed Catmull,"Creativity, Inc."
35,"If you're going to have a problem, have it loud and clear so that you know it's a problem.",Bjarne Stroustrup,
34,Out of suffering have emerged the strongest souls; the most massive characters are seared with scars.,Khalil Gibran,
33,"I fell in love with him the way you fall asleep - slowly, and then all at once.",John Green,The Fault in Our Stars
32,You know what they say about Euchre: you better have a good hand if you don't have a good partner.,My friend Sunny,
31,"Diminutive in german is 'verniedlichungsform', which means 'cute-making form'",My friend Nico,
30,I think your whole life shows on your face and you should be proud of that.,Lauren Bacall,
29,Seeing someone read a book you love is seeing a book recommend a person.,"Jonas Strandell
",
28,"We named her Amelia, in case she needed to fly away.",Humans of NY,
27,How far have you walked for men who've never held your feet in their laps?,Warsan Shire,Questions for the Woman I Was Last Night
26,You can't make homes out of human beings. Someone should have already told you that,Warsan Shire,For Women Who Are Difficult To Love
25,Words and a book and a belief that the world is words.,David Foster Wallace,
24,Sometimes good things fall apart so better things can fall together.,Marilyn Monroe,
23,"When people act schoolin' with facts, tell 'em: at this point in my life I'm all about chillin'.",Nas,
22,They slipped briskly into an intimacy from which they never recovered.,F. Scott Fitzgerald,This Side of Paradise
21,Woke up from that dream again where I love you for the rest of my life.,Warsan Shire,
20,What if people really did that - sent their love through the mail to get rid of it.,Alice Munro,Before the Change
19,"It's too painful to think of you in the same place with your life going on in the same way, minus me.",Alice Munro,Before the Change
18,There comes a time when you have to stop crossing oceans for people who wouldn't even jump puddles for you,Author once known,
17,"Did you ever think that people's lives could be like that and end up like this? Well, they can.",Alice Munro,
16,There came a time when you realized that moving on was pointless. That you took yourself with you wherever you went.,Stephen King,Doctor Sleep
15,I grew bored at dinner last night and talked too much and afterwards reproached myself and worried and suddenly thought: what possible difference does it make and why should I ever reproach myself again.,Martha Gellhorn,
14,The kind of blue that keeps your jeans dry.,Dan Mangan,Et Les Mots Croisés
13,"If we couldn't carry our dead inside us, we would be empty.",,A Softer World
12,"If you've got to lie, lie, but have an answer. Because the answer is a lie anyway",My friend Siggi,
11,Sometimes all you can do is drop an anchor and hope for lobsters.,My friend Debbie's husband,
10,It's always too late for sorries.,Neil Gaiman,The Ocean at the End of the Lane
9,"Honestly, if you're given the choice between Armageddon or tea, you don't say 'what kind of tea?'",Neil Gaiman,
8,Human beings are free except when humanity needs them., Orson Scott Card,Ender's Game
7,"If your lips, which I have loved, should touch another, and your dear strong diggers clutch [her] heart, [...] then shall I turn my face, and hear one bird sing terribly afar in the lost lands.",e.e. cummings,it may not always be so; and i say
6,I don't mean to suggest that I loved you the best. I can't keep track of each fallen robin.,Leonard Cohen,Chelsea Hotel
5,I often carry things to read so that I will not have to look at the people.,Charles Bukowski,
4,With every broken heart you should become more adventurous.,Rilo Kiley,More Adventurous
3,Destiny doesn't do home visits. You have to go for it yourself.,Carlos Ruiz Zafón,
2,"If you banish the dragons, you banish the heroes.",Andrew Solomon,
1,"If you can't handle the heat, stay out of hell",Author once known,
